,fixture-id,fixture-referee,fixture-timezone,fixture-date,fixture-timestamp,league-id,league-name,league-country,league-logo,league-flag,league-season,league-round,goals-home,goals-away,fixture-periods-first,fixture-periods-second,fixture-venue-id,fixture-venue-name,fixture-venue-city,fixture-status-long,fixture-status-short,fixture-status-elapsed,teams-home-id,teams-home-name,teams-home-logo,teams-home-winner,teams-away-id,teams-away-name,teams-away-logo,teams-away-winner,score-halftime-home,score-halftime-away,score-fulltime-home,score-fulltime-away,score-extratime-home,score-extratime-away,score-penalty-home,score-penalty-away
0,710556,M. Oliver,UTC,2021-08-13T19:00:00+00:00,1628881200,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,Regular Season - 1,2,0,1628881200,1628884800,10503,Brentford Community Stadium,"Brentford, Middlesex",Match Finished,FT,90,55,Brentford,https://media.api-sports.io/football/teams/55.png,True,42,Arsenal,https://media.api-sports.io/football/teams/42.png,False,1,0,2,0,,,,
1,710557,D. Coote,UTC,2021-08-14T14:00:00+00:00,1628949600,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,Regular Season - 1,1,2,1628949600,1628953200,512,Turf Moor,Burnley,Match Finished,FT,90,44,Burnley,https://media.api-sports.io/football/teams/44.png,False,51,Brighton,https://media.api-sports.io/football/teams/51.png,True,1,0,1,2,,,,
2,710558,J. Moss,UTC,2021-08-14T14:00:00+00:00,1628949600,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,Regular Season - 1,3,0,1628949600,1628953200,519,Stamford Bridge,London,Match Finished,FT,90,49,Chelsea,https://media.api-sports.io/football/teams/49.png,True,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,False,2,0,3,0,,,,
3,710559,A. Madley,UTC,2021-08-14T14:00:00+00:00,1628949600,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,Regular Season - 1,3,1,1628949600,1628953200,8560,Goodison Park,Liverpool,Match Finished,FT,90,45,Everton,https://media.api-sports.io/football/teams/45.png,True,41,Southampton,https://media.api-sports.io/football/teams/41.png,False,0,1,3,1,,,,
4,710560,C. Pawson,UTC,2021-08-14T14:00:00+00:00,1628949600,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,Regular Season - 1,1,0,1628949600,1628953200,547,King Power Stadium,"Leicester, Leicestershire",Match Finished,FT,90,46,Leicester,https://media.api-sports.io/football/teams/46.png,True,39,Wolves,https://media.api-sports.io/football/teams/39.png,False,1,0,1,0,,,,
5,710561,P. Tierney,UTC,2021-08-14T11:30:00+00:00,1628940600,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,Regular Season - 1,5,1,1628940600,1628944200,556,Old Trafford,Manchester,Match Finished,FT,90,33,Manchester United,https://media.api-sports.io/football/teams/33.png,True,63,Leeds,https://media.api-sports.io/football/teams/63.png,False,1,0,5,1,,,,
6,710562,M. Atkinson,UTC,2021-08-15T13:00:00+00:00,1629032400,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,Regular Season - 1,2,4,1629032400,1629036000,562,St. James' Park,Newcastle upon Tyne,Match Finished,FT,90,34,Newcastle,https://media.api-sports.io/football/teams/34.png,False,48,West Ham,https://media.api-sports.io/football/teams/48.png,True,2,1,2,4,,,,
7,710563,A. Marriner,UTC,2021-08-14T16:30:00+00:00,1628958600,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,Regular Season - 1,0,3,1628958600,1628962200,565,Carrow Road,"Norwich, Norfolk",Match Finished,FT,90,71,Norwich,https://media.api-sports.io/football/teams/71.png,False,40,Liverpool,https://media.api-sports.io/football/teams/40.png,True,0,1,0,3,,,,
8,710564,A. Taylor,UTC,2021-08-15T15:30:00+00:00,1629041400,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,Regular Season - 1,1,0,1629041400,1629045000,593,Tottenham Hotspur Stadium,London,Match Finished,FT,90,47,Tottenham,https://media.api-sports.io/football/teams/47.png,True,50,Manchester City,https://media.api-sports.io/football/teams/50.png,False,0,0,1,0,,,,
9,710565,M. Dean,UTC,2021-08-14T14:00:00+00:00,1628949600,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,Regular Season - 1,3,2,1628949600,1628953200,596,Vicarage Road,Watford,Match Finished,FT,90,38,Watford,https://media.api-sports.io/football/teams/38.png,True,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,False,2,0,3,2,,,,
10,710566,P. Tierney,UTC,2021-08-22T15:30:00+00:00,1629646200,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,Regular Season - 2,0,2,1629646200,1629649800,494,Emirates Stadium,London,Match Finished,FT,90,42,Arsenal,https://media.api-sports.io/football/teams/42.png,False,49,Chelsea,https://media.api-sports.io/football/teams/49.png,True,0,2,0,2,,,,
11,710567,D. Coote,UTC,2021-08-21T14:00:00+00:00,1629554400,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,Regular Season - 2,2,0,1629554400,1629558000,495,Villa Park,Birmingham,Match Finished,FT,90,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,True,34,Newcastle,https://media.api-sports.io/football/teams/34.png,False,1,0,2,0,,,,
12,710568,A. Taylor,UTC,2021-08-21T16:30:00+00:00,1629563400,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,Regular Season - 2,2,0,1629563400,1629567000,508,The American Express Community Stadium,"Falmer, East Sussex",Match Finished,FT,90,51,Brighton,https://media.api-sports.io/football/teams/51.png,True,38,Watford,https://media.api-sports.io/football/teams/38.png,False,2,0,2,0,,,,
13,710569,M. Atkinson,UTC,2021-08-21T14:00:00+00:00,1629554400,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,Regular Season - 2,0,0,1629554400,1629558000,525,Selhurst Park,London,Match Finished,FT,90,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,,55,Brentford,https://media.api-sports.io/football/teams/55.png,,0,0,0,0,,,,
14,710570,D. England,UTC,2021-08-21T14:00:00+00:00,1629554400,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,Regular Season - 2,2,2,1629554400,1629558000,546,Elland Road,"Leeds, West Yorkshire",Match Finished,FT,90,63,Leeds,https://media.api-sports.io/football/teams/63.png,,45,Everton,https://media.api-sports.io/football/teams/45.png,,1,1,2,2,,,,
15,710571,M. Dean,UTC,2021-08-21T11:30:00+00:00,1629545400,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,Regular Season - 2,2,0,1629545400,1629549000,550,Anfield,Liverpool,Match Finished,FT,90,40,Liverpool,https://media.api-sports.io/football/teams/40.png,True,44,Burnley,https://media.api-sports.io/football/teams/44.png,False,1,0,2,0,,,,
16,710572,G. Scott,UTC,2021-08-21T14:00:00+00:00,1629554400,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,Regular Season - 2,5,0,1629554400,1629558000,555,Etihad Stadium,Manchester,Match Finished,FT,90,50,Manchester City,https://media.api-sports.io/football/teams/50.png,True,71,Norwich,https://media.api-sports.io/football/teams/71.png,False,2,0,5,0,,,,
17,710573,C. Pawson,UTC,2021-08-22T13:00:00+00:00,1629637200,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,Regular Season - 2,1,1,1629637200,1629640800,585,St. Mary's Stadium,"Southampton, Hampshire",Match Finished,FT,90,41,Southampton,https://media.api-sports.io/football/teams/41.png,,33,Manchester United,https://media.api-sports.io/football/teams/33.png,,1,0,1,1,,,,
18,710574,M. Oliver,UTC,2021-08-23T19:00:00+00:00,1629745200,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,Regular Season - 2,4,1,1629745200,1629748800,598,London Stadium,London,Match Finished,FT,90,48,West Ham,https://media.api-sports.io/football/teams/48.png,True,46,Leicester,https://media.api-sports.io/football/teams/46.png,False,1,0,4,1,,,,
19,710575,S. Attwell,UTC,2021-08-22T13:00:00+00:00,1629637200,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2021,Regular Season - 2,0,1,1629637200,1629640800,600,Molineux Stadium,"Wolverhampton, West Midlands",Match Finished,FT,90,39,Wolves,https://media.api-sports.io/football/teams/39.png,False,47,Tottenham,https://media.api-sports.io/football/teams/47.png,True,0,1,0,1,,,,
