,fixture-id,fixture-referee,fixture-timezone,fixture-date,fixture-timestamp,league-id,league-name,league-country,league-logo,league-flag,league-season,league-round,goals-home,goals-away,fixture-periods-first,fixture-periods-second,fixture-venue-id,fixture-venue-name,fixture-venue-city,fixture-status-long,fixture-status-short,fixture-status-elapsed,teams-home-id,teams-home-name,teams-home-logo,teams-home-winner,teams-away-id,teams-away-name,teams-away-logo,teams-away-winner,score-halftime-home,score-halftime-away,score-fulltime-home,score-fulltime-away,score-extratime-home,score-extratime-away,score-penalty-home,score-penalty-away
0,592141,K. Friend,UTC,2021-01-12T20:15:00+00:00,1610482500,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,Regular Season - 1,0,1,1610482500,1610486100,512,Turf Moor,Burnley,Match Finished,FT,90,44,Burnley,https://media.api-sports.io/football/teams/44.png,False,33,Manchester United,https://media.api-sports.io/football/teams/33.png,True,0,0,0,1,,,,
1,592142,J. Moss,UTC,2020-09-12T14:00:00+00:00,1599919200,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,Regular Season - 1,1,0,1599919200,1599922800,525,Selhurst Park,London,Match Finished,FT,90,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,True,41,Southampton,https://media.api-sports.io/football/teams/41.png,False,1,0,1,0,,,,
2,592143,C. Kavanagh,UTC,2020-09-12T11:30:00+00:00,1599910200,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,Regular Season - 1,0,3,1599910200,1599913800,535,Craven Cottage,London,Match Finished,FT,90,36,Fulham,https://media.api-sports.io/football/teams/36.png,False,42,Arsenal,https://media.api-sports.io/football/teams/42.png,True,0,1,0,3,,,,
3,592144,M. Oliver,UTC,2020-09-12T16:30:00+00:00,1599928200,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,Regular Season - 1,4,3,1599928200,1599931800,550,Anfield,Liverpool,Match Finished,FT,90,40,Liverpool,https://media.api-sports.io/football/teams/40.png,True,63,Leeds,https://media.api-sports.io/football/teams/63.png,False,3,2,4,3,,,,
4,592145,J. Moss,UTC,2021-01-20T18:00:00+00:00,1611165600,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,Regular Season - 1,2,0,1611165600,1611169200,555,Etihad Stadium,Manchester,Match Finished,FT,90,50,Manchester City,https://media.api-sports.io/football/teams/50.png,True,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,False,0,0,2,0,,,,
5,592146,M. Atkinson,UTC,2020-09-13T15:30:00+00:00,1600011000,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,Regular Season - 1,0,1,1600011000,1600014600,593,Tottenham Hotspur Stadium,London,Match Finished,FT,90,47,Tottenham,https://media.api-sports.io/football/teams/47.png,False,45,Everton,https://media.api-sports.io/football/teams/45.png,True,0,0,0,1,,,,
6,592147,A. Taylor,UTC,2020-09-13T13:00:00+00:00,1600002000,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,Regular Season - 1,0,3,1600002000,1600005600,597,The Hawthorns,West Bromwich,Match Finished,FT,90,60,West Brom,https://media.api-sports.io/football/teams/60.png,False,46,Leicester,https://media.api-sports.io/football/teams/46.png,True,0,0,0,3,,,,
7,592148,S. Attwell,UTC,2020-09-12T19:00:00+00:00,1599937200,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,Regular Season - 1,0,2,1599937200,1599940800,598,London Stadium,London,Match Finished,FT,90,48,West Ham,https://media.api-sports.io/football/teams/48.png,False,34,Newcastle,https://media.api-sports.io/football/teams/34.png,True,0,0,0,2,,,,
8,592149,C. Pawson,UTC,2020-09-14T19:15:00+00:00,1600110900,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,Regular Season - 1,1,3,1600110900,1600114500,508,The American Express Community Stadium,"Falmer, East Sussex",Match Finished,FT,90,51,Brighton,https://media.api-sports.io/football/teams/51.png,False,49,Chelsea,https://media.api-sports.io/football/teams/49.png,True,0,1,1,3,,,,
9,592150,M. Dean,UTC,2020-09-14T17:00:00+00:00,1600102800,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2020,Regular Season - 1,0,2,1600102800,1600106400,581,Bramall Lane,Sheffield,Match Finished,FT,90,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,False,39,Wolves,https://media.api-sports.io/football/teams/39.png,True,0,2,0,2,,,,
