,fixture-id,fixture-referee,fixture-timezone,fixture-date,fixture-timestamp,league-id,league-name,league-country,league-logo,league-flag,league-season,league-round,goals-home,goals-away,fixture-periods-first,fixture-periods-second,fixture-venue-id,fixture-venue-name,fixture-venue-city,fixture-status-long,fixture-status-short,fixture-status-elapsed,teams-home-id,teams-home-name,teams-home-logo,teams-home-winner,teams-away-id,teams-away-name,teams-away-logo,teams-away-winner,score-halftime-home,score-halftime-away,score-fulltime-home,score-fulltime-away,score-extratime-home,score-extratime-away,score-penalty-home,score-penalty-away
0,194197,,UTC,2010-08-14T11:45:00+00:00,1281786300,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 38,0,0,,,,White Hart Lane (London),,Match Finished,FT,90,47,Tottenham,https://media.api-sports.io/football/teams/47.png,,50,Manchester City,https://media.api-sports.io/football/teams/50.png,,0,0,0,0,,,,
1,194198,,UTC,2010-08-14T14:00:00+00:00,1281794400,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 38,3,0,,,,Villa Park (Birmingham),,Match Finished,FT,90,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,True,48,West Ham,https://media.api-sports.io/football/teams/48.png,False,2,0,3,0,,,,
2,194199,,UTC,2010-08-14T14:00:00+00:00,1281794400,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 38,1,0,,,,Ewood Park (Blackburn),,Match Finished,FT,90,67,Blackburn,https://media.api-sports.io/football/teams/67.png,True,45,Everton,https://media.api-sports.io/football/teams/45.png,False,1,0,1,0,,,,
3,194200,,UTC,2010-08-14T14:00:00+00:00,1281794400,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 38,0,4,,,,The DW Stadium (Wigan),,Match Finished,FT,90,61,Wigan,https://media.api-sports.io/football/teams/61.png,False,1356,Blackpool,https://media.api-sports.io/football/teams/1356.png,True,0,3,0,4,,,,
4,194201,,UTC,2010-08-14T14:00:00+00:00,1281794400,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 38,0,0,,,,Reebok Stadium (Bolton),,Match Finished,FT,90,68,Bolton,https://media.api-sports.io/football/teams/68.png,,36,Fulham,https://media.api-sports.io/football/teams/36.png,,0,0,0,0,,,,
5,194202,,UTC,2010-08-14T14:00:00+00:00,1281794400,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 38,2,2,,,,Stadium of Light (Sunderland),,Match Finished,FT,90,746,Sunderland,https://media.api-sports.io/football/teams/746.png,,54,Birmingham,https://media.api-sports.io/football/teams/54.png,,1,0,2,2,,,,
6,194203,,UTC,2010-08-14T14:00:00+00:00,1281794400,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 38,2,1,,,,"Molineux Stadium (Wolverhampton, West Midlands)",,Match Finished,FT,90,39,Wolves,https://media.api-sports.io/football/teams/39.png,True,75,Stoke City,https://media.api-sports.io/football/teams/75.png,False,2,0,2,1,,,,
7,194204,,UTC,2010-08-14T16:30:00+00:00,1281803400,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 38,6,0,,,,Stamford Bridge (London),,Match Finished,FT,90,49,Chelsea,https://media.api-sports.io/football/teams/49.png,True,60,West Brom,https://media.api-sports.io/football/teams/60.png,False,2,0,6,0,,,,
8,194205,,UTC,2010-08-15T15:00:00+00:00,1281884400,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 38,1,1,,,,Anfield (Liverpool),,Match Finished,FT,90,40,Liverpool,https://media.api-sports.io/football/teams/40.png,,42,Arsenal,https://media.api-sports.io/football/teams/42.png,,0,0,1,1,,,,
9,194206,,UTC,2010-08-16T19:00:00+00:00,1281985200,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 38,3,0,,,,Old Trafford (Manchester),,Match Finished,FT,90,33,Manchester United,https://media.api-sports.io/football/teams/33.png,True,34,Newcastle,https://media.api-sports.io/football/teams/34.png,False,2,0,3,0,,,,
10,194207,,UTC,2011-05-14T11:45:00+00:00,1305373500,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 2,1,0,,,,"The Hawthorns, West Bromwich (West Bromwich)",,Match Finished,FT,90,60,West Brom,https://media.api-sports.io/football/teams/60.png,True,45,Everton,https://media.api-sports.io/football/teams/45.png,False,1,0,1,0,,,,
11,194208,,UTC,2011-05-14T11:45:00+00:00,1305373500,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 2,1,3,,,,Stadium of Light (Sunderland),,Match Finished,FT,90,746,Sunderland,https://media.api-sports.io/football/teams/746.png,False,39,Wolves,https://media.api-sports.io/football/teams/39.png,True,1,1,1,3,,,,
12,194209,,UTC,2011-05-14T11:45:00+00:00,1305373500,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 2,4,3,,,,Bloomfield Road (Blackpool),,Match Finished,FT,90,1356,Blackpool,https://media.api-sports.io/football/teams/1356.png,True,68,Bolton,https://media.api-sports.io/football/teams/68.png,False,3,2,4,3,,,,
13,194210,,UTC,2011-05-14T11:45:00+00:00,1305373500,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 2,1,1,,,,Ewood Park (Blackburn),,Match Finished,FT,90,67,Blackburn,https://media.api-sports.io/football/teams/67.png,,33,Manchester United,https://media.api-sports.io/football/teams/33.png,,1,0,1,1,,,,
14,194211,,UTC,2011-05-15T12:30:00+00:00,1305462600,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 2,2,2,,,,Stamford Bridge (London),,Match Finished,FT,90,49,Chelsea,https://media.api-sports.io/football/teams/49.png,,34,Newcastle,https://media.api-sports.io/football/teams/34.png,,1,1,2,2,,,,
15,194212,,UTC,2011-05-15T15:00:00+00:00,1305471600,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 2,3,2,,,,The DW Stadium (Wigan),,Match Finished,FT,90,61,Wigan,https://media.api-sports.io/football/teams/61.png,True,48,West Ham,https://media.api-sports.io/football/teams/48.png,False,0,2,3,2,,,,
16,194213,,UTC,2011-05-15T15:00:00+00:00,1305471600,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 2,0,2,,,,Anfield (Liverpool),,Match Finished,FT,90,40,Liverpool,https://media.api-sports.io/football/teams/40.png,False,47,Tottenham,https://media.api-sports.io/football/teams/47.png,True,0,1,0,2,,,,
17,194214,,UTC,2011-05-15T15:00:00+00:00,1305471600,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 2,0,2,,,,St. Andrew's Stadium (Birmingham),,Match Finished,FT,90,54,Birmingham,https://media.api-sports.io/football/teams/54.png,False,36,Fulham,https://media.api-sports.io/football/teams/36.png,True,0,1,0,2,,,,
18,194215,,UTC,2011-05-15T15:00:00+00:00,1305471600,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 2,1,2,,,,Emirates Stadium (London),,Match Finished,FT,90,42,Arsenal,https://media.api-sports.io/football/teams/42.png,False,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,True,0,2,1,2,,,,
19,194216,,UTC,2011-05-17T18:45:00+00:00,1305657900,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 2,3,0,,,,"Etihad Stadium, Manchester (Manchester)",,Match Finished,FT,90,50,Manchester City,https://media.api-sports.io/football/teams/50.png,True,75,Stoke City,https://media.api-sports.io/football/teams/75.png,False,1,0,3,0,,,,
20,194217,,UTC,2011-05-07T14:00:00+00:00,1304776800,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 3,2,1,,,,"St. James' Park, Newcastle (Newcastle-upon-Tyne)",,Match Finished,FT,90,34,Newcastle,https://media.api-sports.io/football/teams/34.png,True,54,Birmingham,https://media.api-sports.io/football/teams/54.png,False,2,1,2,1,,,,
21,194218,,UTC,2011-05-07T14:00:00+00:00,1304776800,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 3,2,1,,,,Goodison Park (Liverpool),,Match Finished,FT,90,45,Everton,https://media.api-sports.io/football/teams/45.png,True,50,Manchester City,https://media.api-sports.io/football/teams/50.png,False,0,1,2,1,,,,
22,194219,,UTC,2011-05-07T14:00:00+00:00,1304776800,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 3,1,2,,,,Reebok Stadium (Bolton),,Match Finished,FT,90,68,Bolton,https://media.api-sports.io/football/teams/68.png,False,746,Sunderland,https://media.api-sports.io/football/teams/746.png,True,0,1,1,2,,,,
23,194220,,UTC,2011-05-07T14:00:00+00:00,1304776800,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 3,1,1,,,,Villa Park (Birmingham),,Match Finished,FT,90,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,,61,Wigan,https://media.api-sports.io/football/teams/61.png,,1,1,1,1,,,,
24,194221,,UTC,2011-05-07T16:30:00+00:00,1304785800,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 3,1,1,,,,White Hart Lane (London),,Match Finished,FT,90,47,Tottenham,https://media.api-sports.io/football/teams/47.png,,1356,Blackpool,https://media.api-sports.io/football/teams/1356.png,,0,0,1,1,,,,
25,194222,,UTC,2011-05-08T11:00:00+00:00,1304852400,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 3,3,1,,,,"Molineux Stadium (Wolverhampton, West Midlands)",,Match Finished,FT,90,39,Wolves,https://media.api-sports.io/football/teams/39.png,True,60,West Brom,https://media.api-sports.io/football/teams/60.png,False,2,0,3,1,,,,
26,194223,,UTC,2011-05-08T13:05:00+00:00,1304859900,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 3,3,1,,,,Britannia Stadium (Stoke-on-Trent),,Match Finished,FT,90,75,Stoke City,https://media.api-sports.io/football/teams/75.png,True,42,Arsenal,https://media.api-sports.io/football/teams/42.png,False,2,0,3,1,,,,
27,194224,,UTC,2011-05-08T15:10:00+00:00,1304867400,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 3,2,1,,,,Old Trafford (Manchester),,Match Finished,FT,90,33,Manchester United,https://media.api-sports.io/football/teams/33.png,True,49,Chelsea,https://media.api-sports.io/football/teams/49.png,False,2,0,2,1,,,,
28,194225,,UTC,2011-05-09T19:00:00+00:00,1304967600,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2010,Regular Season - 3,2,5,,,,Craven Cottage (London),,Match Finished,FT,90,36,Fulham,https://media.api-sports.io/football/teams/36.png,False,40,Liverpool,https://media.api-sports.io/football/teams/40.png,True,0,3,2,5,,,,
