,fixture-id,fixture-referee,fixture-timezone,fixture-date,fixture-timestamp,league-id,league-name,league-country,league-logo,league-flag,league-season,league-round,goals-home,goals-away,fixture-periods-first,fixture-periods-second,fixture-venue-id,fixture-venue-name,fixture-venue-city,fixture-status-long,fixture-status-short,fixture-status-elapsed,teams-home-id,teams-home-name,teams-home-logo,teams-home-winner,teams-away-id,teams-away-name,teams-away-logo,teams-away-winner,score-halftime-home,score-halftime-away,score-fulltime-home,score-fulltime-away,score-extratime-home,score-extratime-away,score-penalty-home,score-penalty-away
0,193817,,UTC,2011-08-13T14:00:00+00:00,1313244000,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2011,Regular Season - 1,1,2,1313244000,1313247600,,Ewood Park (Blackburn),,Match Finished,FT,90,67,Blackburn,https://media.api-sports.io/football/teams/67.png,False,39,Wolves,https://media.api-sports.io/football/teams/39.png,True,1,1,1,2,,,,
1,193818,,UTC,2011-08-13T14:00:00+00:00,1313244000,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2011,Regular Season - 1,0,0,1313244000,1313247600,,Craven Cottage (London),,Match Finished,FT,90,36,Fulham,https://media.api-sports.io/football/teams/36.png,,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,,0,0,0,0,,,,
2,193819,,UTC,2011-08-13T14:00:00+00:00,1313244000,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2011,Regular Season - 1,1,1,1313244000,1313247600,,Anfield (Liverpool),,Match Finished,FT,90,40,Liverpool,https://media.api-sports.io/football/teams/40.png,,746,Sunderland,https://media.api-sports.io/football/teams/746.png,,1,0,1,1,,,,
3,193820,,UTC,2011-08-13T14:00:00+00:00,1313244000,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2011,Regular Season - 1,0,4,1313244000,1313247600,,Loftus Road Stadium (London),,Match Finished,FT,90,72,QPR,https://media.api-sports.io/football/teams/72.png,False,68,Bolton,https://media.api-sports.io/football/teams/68.png,True,0,1,0,4,,,,
4,193821,,UTC,2011-08-13T14:00:00+00:00,1313244000,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2011,Regular Season - 1,1,1,1313244000,1313247600,,The DW Stadium (Wigan),,Match Finished,FT,90,61,Wigan,https://media.api-sports.io/football/teams/61.png,,71,Norwich,https://media.api-sports.io/football/teams/71.png,,1,1,1,1,,,,
5,193822,,UTC,2011-08-13T16:30:00+00:00,1313253000,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2011,Regular Season - 1,0,0,1313253000,1313256600,,Sports Direct Arena (Newcastle-upon-Tyne),,Match Finished,FT,90,34,Newcastle,https://media.api-sports.io/football/teams/34.png,,42,Arsenal,https://media.api-sports.io/football/teams/42.png,,0,0,0,0,,,,
6,193823,,UTC,2011-08-14T12:30:00+00:00,1313325000,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2011,Regular Season - 1,0,0,1313325000,1313328600,,"Britannia Stadium (Stoke-on-Trent, Staffordshire)",,Match Finished,FT,90,75,Stoke City,https://media.api-sports.io/football/teams/75.png,,49,Chelsea,https://media.api-sports.io/football/teams/49.png,,0,0,0,0,,,,
7,193824,,UTC,2011-08-14T15:00:00+00:00,1313334000,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2011,Regular Season - 1,1,2,1313334000,1313337600,,The Hawthorns (West Bromwich),,Match Finished,FT,90,60,West Brom,https://media.api-sports.io/football/teams/60.png,False,33,Manchester United,https://media.api-sports.io/football/teams/33.png,True,1,1,1,2,,,,
8,193825,,UTC,2011-08-15T19:00:00+00:00,1313434800,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2011,Regular Season - 1,4,0,1313434800,1313438400,,Etihad Stadium (Manchester),,Match Finished,FT,90,50,Manchester City,https://media.api-sports.io/football/teams/50.png,True,76,Swansea,https://media.api-sports.io/football/teams/76.png,False,0,0,4,0,,,,
9,193826,,UTC,2012-01-11T19:45:00+00:00,1326311100,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2011,Regular Season - 1,2,0,1326311100,1326314700,,White Hart Lane (London),,Match Finished,FT,90,47,Tottenham,https://media.api-sports.io/football/teams/47.png,True,45,Everton,https://media.api-sports.io/football/teams/45.png,False,1,0,2,0,,,,
