,fixture-id,fixture-referee,fixture-timezone,fixture-date,fixture-timestamp,league-id,league-name,league-country,league-logo,league-flag,league-season,league-round,goals-home,goals-away,fixture-periods-first,fixture-periods-second,fixture-venue-id,fixture-venue-name,fixture-venue-city,fixture-status-long,fixture-status-short,fixture-status-elapsed,teams-home-id,teams-home-name,teams-home-logo,teams-home-winner,teams-away-id,teams-away-name,teams-away-logo,teams-away-winner,score-halftime-home,score-halftime-away,score-fulltime-home,score-fulltime-away,score-extratime-home,score-extratime-away,score-penalty-home,score-penalty-away
0,11532,"Paul Tierney, England",UTC,2018-05-13T14:00:00+00:00,1526220000,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,Regular Season - 38,1,2,1526220000,1526223600,512.0,Turf Moor,Burnley,Match Finished,FT,90,44,Burnley,https://media.api-sports.io/football/teams/44.png,False,35,Bournemouth,https://media.api-sports.io/football/teams/35.png,True,1,0,1,2,,,,
1,11533,"Jonathan Moss, England",UTC,2018-05-13T14:00:00+00:00,1526220000,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,Regular Season - 38,2,0,1526220000,1526223600,525.0,Selhurst Park,London,Match Finished,FT,90,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,True,60,West Brom,https://media.api-sports.io/football/teams/60.png,False,0,0,2,0,,,,
2,11534,"Michael Oliver, England",UTC,2018-05-13T14:00:00+00:00,1526220000,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,Regular Season - 38,0,1,1526220000,1526223600,,John Smith's Stadium,Huddersfield,Match Finished,FT,90,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,False,42,Arsenal,https://media.api-sports.io/football/teams/42.png,True,0,1,0,1,,,,
3,11535,"Kevin Friend, England",UTC,2018-05-13T14:00:00+00:00,1526220000,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,Regular Season - 38,4,0,1526220000,1526223600,550.0,Anfield,Liverpool,Match Finished,FT,90,40,Liverpool,https://media.api-sports.io/football/teams/40.png,True,51,Brighton,https://media.api-sports.io/football/teams/51.png,False,2,0,4,0,,,,
4,11536,"Lee Mason, England",UTC,2018-05-13T14:00:00+00:00,1526220000,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,Regular Season - 38,1,0,1526220000,1526223600,556.0,Old Trafford,Manchester,Match Finished,FT,90,33,Manchester United,https://media.api-sports.io/football/teams/33.png,True,38,Watford,https://media.api-sports.io/football/teams/38.png,False,1,0,1,0,,,,
5,11537,"Martin Atkinson, England",UTC,2018-05-13T14:00:00+00:00,1526220000,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,Regular Season - 38,3,0,1526220000,1526223600,562.0,St James' Park,Newcastle upon Tyne,Match Finished,FT,90,34,Newcastle,https://media.api-sports.io/football/teams/34.png,True,49,Chelsea,https://media.api-sports.io/football/teams/49.png,False,1,0,3,0,,,,
6,11538,"Andre Marriner, England",UTC,2018-05-13T14:00:00+00:00,1526220000,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,Regular Season - 38,0,1,1526220000,1526223600,,St. Mary's Stadium,Southampton,Match Finished,FT,90,41,Southampton,https://media.api-sports.io/football/teams/41.png,False,50,Manchester City,https://media.api-sports.io/football/teams/50.png,True,0,0,0,1,,,,
7,11539,"Anthony Taylor, England",UTC,2018-05-13T14:00:00+00:00,1526220000,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,Regular Season - 38,1,2,1526220000,1526223600,,Liberty Stadium,Swansea,Match Finished,FT,90,76,Swansea,https://media.api-sports.io/football/teams/76.png,False,75,Stoke City,https://media.api-sports.io/football/teams/75.png,True,1,2,1,2,,,,
8,11540,"Craig Pawson, England",UTC,2018-05-13T14:00:00+00:00,1526220000,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,Regular Season - 38,5,4,1526220000,1526223600,489.0,Wembley Stadium,London,Match Finished,FT,90,47,Tottenham,https://media.api-sports.io/football/teams/47.png,True,46,Leicester,https://media.api-sports.io/football/teams/46.png,False,1,2,5,4,,,,
9,11541,"Graham Scott, England",UTC,2018-05-13T14:00:00+00:00,1526220000,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,Regular Season - 38,3,1,1526220000,1526223600,598.0,London Stadium,London,Match Finished,FT,90,48,West Ham,https://media.api-sports.io/football/teams/48.png,True,45,Everton,https://media.api-sports.io/football/teams/45.png,False,1,0,3,1,,,,
